property_name,areaWithType,square_feet,transaction,status,furnishing,facing,price_per_sqft (₹),price (₹ Lac),floor_cleaned
2 BHK Apartment for Sale in Dindoli Surat,Carpet Area,644.0,New Property,Poss. by Oct '24,Unfurnished,West,2891.0,33.8,5
2 BHK Apartment for Sale in Althan Surat,Super Area,1278.0,New Property,Poss. by Jan '26,Unfurnished,East,3551.0,45.4,6
2 BHK Apartment for Sale in Pal Gam Surat,Super Area,1173.0,Resale,Ready to Move,Semi-Furnished,East,3800.0,44.6,5
2 BHK Apartment for Sale in Jahangirabad Surat,Carpet Area,700.0,New Property,Ready to Move,Unfurnished,East,3966.0,47.0,6
"2 BHK Apartment for Sale in Orchid Fantasia, Palanpur Surat",Super Area,1250.0,Resale,Ready to Move,Unfurnished,East,3600.0,45.0,5
"2 BHK Apartment for Sale in Anand Aspire, Jahangirabad Surat",Super Area,1265.0,Resale,Poss. by Dec '25,Unfurnished,East,3411.0,43.2,5
3 BHK Villa for Sale in Dindoli Surat,Carpet Area,1404.0,Resale,Poss. by Jun '24,Unfurnished,East,4700.0,42.1,5
  Office Space for Sale in Vesu Surat,Carpet Area,700.0,New Property,Poss. by Sep '25,Unfurnished,East,3392.0,44.1,7
"2 BHK Apartment for Sale in Orchid Gardenia, Palanpur Surat",Super Area,1180.0,Resale,Ready to Move,Unfurnished,East,3751.0,44.3,5
2 BHK Apartment for Sale in Palanpur Surat,Carpet Area,720.0,New Property,Poss. by Dec '25,Unfurnished,East,3200.0,40.0,3
2 BHK Apartment for Sale in Jahangirabad Surat,Carpet Area,748.0,New Property,Poss. by Dec '25,Unfurnished,East,3235.0,44.0,6
1 BHK  House for Sale in Kim Surat,Carpet Area,480.0,Resale,Ready to Move,Unfurnished,East,2315.0,12.5,1
2 BHK Apartment for Sale in NavYug College Surat,Carpet Area,1650.0,Resale,Ready to Move,Unfurnished,East,3125.0,50.0,7
2 BHK Apartment for Sale in Adajan Surat,Super Area,847.0,Resale,Ready to Move,Furnished,East,5903.0,50.0,1
3 BHK Apartment for Sale in Dindoli Surat,Super Area,1511.0,New Property,Poss. by Feb '26,Unfurnished,East,2368.0,35.8,5
2 BHK Apartment for Sale in Bhatar Road Surat,Carpet Area,850.0,Resale,Ready to Move,Furnished,East,4700.0,45.0,4
  Shop for Sale in Moti Begumwadi Surat,Carpet Area,180.0,Resale,Ready to Move,Unfurnished,East,14728.0,26.5,3
  Office Space for Sale in Nanpura Surat,Super Area,800.0,Resale,Ready to Move,Unfurnished,East,5250.0,42.0,2
3 BHK Apartment for Sale in Mota Varachha Surat,Carpet Area,1000.0,New Property,Ready to Move,Furnished,East,3185.0,43.0,3
1 BHK Apartment for Sale in Ramnagar Surat,Carpet Area,731.0,Resale,Ready to Move,Unfurnished,East,2736.0,20.0,2
  Office Space for Sale in Belgium Tower Ring Rode Surat,Carpet Area,816.0,Resale,Ready to Move,Unfurnished,East,4534.0,37.0,3
2 BHK Builder Floor for Sale in Amroli Surat,Carpet Area,950.0,Resale,Ready to Move,Unfurnished,West,2829.0,29.0,5
